aerospace	noun	high-intermediate	
aesthetic	adj.	high-intermediate	= esthetic
aesthetics	noun	high-intermediate	= esthetics
affair	noun	elementary	
affect	verb	elementary	
affection	noun	intermediate	
affectionate	adj.	high-intermediate	
affiliate	noun/verb	high-intermediate	
affirm	verb	high-intermediate	
afflict	verb	high-intermediate	
afford	verb	intermediate	
afraid	adj.	elementary	
after	prep./conj.	elementary	
aftermath	noun	high-intermediate	
afternoon	noun	elementary	
afterwards	adv.	intermediate	
again	adv.	elementary	
against	prep.	elementary	
age	noun/verb	elementary	
aged	adj.	intermediate	
agency	noun	intermediate	
agenda	noun	high-intermediate	
agent	noun	intermediate	
aggravate	verb	high-intermediate	
aggregate	adj./noun/verb	high-intermediate	
aggression	noun	high-intermediate	
aggressive	adj.	intermediate	
aging	adj./noun	high-intermediate	= ageing
agitate	verb	high-intermediate	
agitation	noun	high-intermediate	
ago	adv.	elementary	
agony	noun	high-intermediate	
agree	verb	elementary	
agreeable	adj.	intermediate	
agreement	noun	intermediate	
agricultural	adj.	high-intermediate	
agriculture	noun	intermediate	
ahead	adv.	elementary	
AI	noun	high-intermediate	= artificial intelligence
aid	noun/verb	elementary	
aide	noun	high-intermediate	
AIDS	noun	elementary	
aim	verb/noun	elementary	
air	noun	elementary	
air-conditioned	adj.	intermediate	
air-conditioner	noun	high-intermediate	= air conditioner
aircraft	noun	elementary	
airlift	noun/verb	high-intermediate	
airline	noun	elementary	
airmail	noun	intermediate	
airplane	noun	elementary	= plane, aeroplane (British English)
airport	noun	elementary	
airtight	adj.	high-intermediate	
airway	noun	high-intermediate	
aisle	noun	high-intermediate	
alarm	noun	elementary	
alarming	adj.	high-intermediate	
album	noun	elementary	
alcohol	noun	intermediate	
alcoholic	noun/adj.	intermediate	
alert	verb/adj./noun	intermediate	
algebra	noun	high-intermediate	
alien	adj./noun	high-intermediate	
alienate	verb	high-intermediate	
alike	adv./adj.	elementary	
alive	adj.	elementary	
all	adj./pron./adv.	elementary	
allegation	noun	high-intermediate	
allege	verb	high-intermediate	
alleged	adj.	high-intermediate	
allergic	adj.	high-intermediate	
allergy	noun	high-intermediate	
alleviate	verb	high-intermediate	
alley	noun	intermediate	
alliance	noun	high-intermediate	
allied	adj.	high-intermediate	
alligator	noun	high-intermediate	
allocate	verb	high-intermediate	
allow	verb	elementary	
allowance	noun	intermediate	= pocket money
alloy	noun	high-intermediate	
ally	noun/verb	high-intermediate	
almond	noun	high-intermediate	
almost	adv.	elementary	
alone	adv./adj.	elementary	
along	prep./adv.	elementary	
alongside	prep./adv.	intermediate	
aloud	adv.	elementary	
alphabet	noun	elementary	
already	adv.	elementary	
also	adv.	elementary	
alter	verb	high-intermediate	
alternate	verb/adj.	high-intermediate	
alternative	noun/adj.	intermediate	
alternatively	adv.	high-intermediate	
although	conj.	elementary	
altitude	noun	intermediate	
altogether	adv.	elementary	
aluminium	noun/adj.	intermediate	
always	adv.	elementary	
am	verb	elementary	
amateur	adj./noun	intermediate	
amaze	verb	intermediate	
amazing	adj.	intermediate	
ambassador	noun	intermediate	
ambiguity	noun	high-intermediate	
ambiguous	adj.	high-intermediate	
ambition	noun	intermediate	
ambitious	adj.	intermediate	
ambulance	noun	elementary	
ambush	verb/noun	high-intermediate	
amend	verb	high-intermediate	
amendment	noun	high-intermediate	
amends	noun	high-intermediate	賠償
America	noun	elementary	
American	adj./noun	elementary	
amiable	adj.	high-intermediate	
amicable	adj.	high-intermediate	
amid	prep.	intermediate	
ammunition	noun	high-intermediate	
amnesty	noun	high-intermediate	
among	prep.	elementary	
amount	noun	elementary	
ample	adj.	high-intermediate	
amplify	verb	high-intermediate	
amuse	verb	intermediate	
amused	adj.	intermediate	
amusement	noun	intermediate	
amusing	adj.	intermediate	
amzed	adj.	intermediate	
analogy	noun	high-intermediate	
analysis	noun	intermediate	
analyst	noun	intermediate	
analytical	adj.	high-intermediate	= analytic
analyze	verb	intermediate	= analyse (British English)
ancestor	noun	intermediate	
anchor	noun/verb	high-intermediate	
ancient	adj.	elementary	
and	conj.	elementary	
anecdote	noun	high-intermediate	
angel	noun	elementary	
anger	noun	elementary	
angle	noun	intermediate	
angler	noun	high-intermediate	
angry	adj.	elementary	
animal	noun	elementary	
animate	adj./verb	high-intermediate	
animated	adj.	high-intermediate	
ankle	noun	elementary	
anniversary	noun	intermediate	
announce	verb	intermediate	
announcement	noun	intermediate	
announcer	noun	intermediate	
annoy	verb	intermediate	
annoyance	noun	high-intermediate	
annoyed	adj.	intermediate	
annoying	adj.	intermediate	
annual	adj./noun	intermediate	
anonymous	adj.	high-intermediate	
another	pron./adj.	elementary	
answer	noun/verb	elementary	
ant	noun	elementary	
Antarctic	adj./noun	high-intermediate	= antarctic, 南極
antenna	noun	high-intermediate	
anthem	noun	high-intermediate	
antibiotic	noun/adj.	high-intermediate	
antibody	noun	high-intermediate	
anticipate	verb	high-intermediate	
anticipation	noun	high-intermediate	
antique	noun/adj.	high-intermediate	
antonym	noun	high-intermediate	
anxiety	noun	intermediate	
anxious	adj.	intermediate	
any	pron./adv./adj.	elementary	
anybody	pron.	elementary	= anyone
anyhow	adv.	intermediate	
anymore	adv.	high-intermediate	
anyone	pron.	elementary	= anybody
anything	pron.	elementary	
anytime	adv.	intermediate	
anyway	adv.	elementary	
anywhere	adv.	elementary	= anyplace
apart	adv./adj.	intermediate	
apartheid	noun	high-intermediate	
apartment	noun	elementary	= flat (British English)
ape	noun/verb	intermediate	
apologize	verb	elementary	= apoligise (British English)
apology	noun	intermediate	
appall	verb	high-intermediate	= appal (British English)
appalling	adj.	high-intermediate	
apparatus	noun	high-intermediate	
apparent	adj.	intermediate	
apparently	adv.	intermediate	
appeal	noun/verb	intermediate	
appear	verb	elementary	
appearance	noun	elementary	
appendix	noun	high-intermediate	
appetite	noun	intermediate	
applaud	verb	intermediate	
applause	noun	intermediate	
apple	noun	elementary	
appliance	noun	intermediate	
applicable	adj.	high-intermediate	
applicant	noun	intermediate	
application	noun	intermediate	
apply	verb	elementary	
appoint	verb	intermediate	
appointment	noun	intermediate	
appraisal	noun	high-intermediate	
appreciable	adj.	high-intermediate	
appreciate	verb	elementary	
appreciation	noun	intermediate	
apprehension	noun	high-intermediate	
apprentice	noun/verb	high-intermediate	
approach	noun/verb	intermediate	
appropriate	adj.	intermediate	
approval	noun	intermediate	
approve	verb	intermediate	
approximate	adj./verb	high-intermediate	
April	noun	elementary	= Apr.
apron	noun	intermediate	
apt	adj.	high-intermediate	
aptitude	noun	high-intermediate	
aquarium	noun	intermediate	
arbitrary	adj.	high-intermediate	
arc	noun/verb	high-intermediate	
arch	noun/verb	intermediate	
archaeology	noun	high-intermediate	= archeology
architect	noun	intermediate	
architectural	adj.	high-intermediate	
architecture	noun	intermediate	
archive	noun/adj.	high-intermediate	
Arctic	adj./noun	high-intermediate	= arctic, 北極
are	verb	elementary	
area	noun	elementary	
arena	noun	high-intermediate	
argue	verb	elementary	
argument	noun	intermediate	
arise	verb	intermediate	
arithmetic	noun/adj.	intermediate	
arm	noun	elementary	
armchair	noun	elementary	
armed	adj.	intermediate	
armor	noun/verb	high-intermediate	= armour (British English)
armored	adj.	high-intermediate	= armoured (British English)
arms	noun	high-intermediate	
army	noun	elementary	
around	prep./adv.	elementary	
arouse	verb	intermediate	
arrange	verb	elementary	
arrangement	noun	intermediate	
array	noun/verb	high-intermediate	
arrest	verb/noun	elementary	
arrival	noun	intermediate	
arrive	verb	elementary	
arrogant	adj.	high-intermediate	
arrow	noun	intermediate	
art	noun	elementary	
artery	noun	high-intermediate	
article	noun	elementary	
articulate	adj./verb	high-intermediate	
artifact	noun	high-intermediate	
artificial	adj.	intermediate	
artillery	noun	high-intermediate	
artist	noun	elementary	
artistic	adj.	intermediate	
as	conj./prep./adv.	elementary	
ascend	verb	intermediate	
ascending	adj.	intermediate	
ascertain	verb	high-intermediate	
ascribe	verb	high-intermediate	
ash	noun	intermediate	
ashamed	adj.	intermediate	
Asia	noun	elementary	
Asian	adj./noun	elementary	
aside	adv.	intermediate	
ask	verb	elementary	
asleep	adj.	elementary	
aspect	noun	intermediate	
aspiration	noun	high-intermediate	
aspirin	noun	intermediate	
ass	noun	high-intermediate	
assassinate	verb	intermediate	
assault	noun/adj./verb	high-intermediate	
assemble	verb	intermediate	
assembly	noun	intermediate	
assert	verb	high-intermediate	
assess	verb	high-intermediate	
assessment	noun	high-intermediate	
asset	noun	intermediate	
assign	verb	intermediate	
assignment	noun	high-intermediate	
assimilate	verb	high-intermediate	
assist	verb	intermediate	
assistance	noun	intermediate	
assistant	noun/adj.	elementary	
associate	verb/noun	intermediate	
associated	adj.	high-intermediate	
association	noun	intermediate	
assume	verb	elementary	
assuming	conj./adj.	high-intermediate	adj. 傲慢的
assumption	noun	high-intermediate	
assurance	noun	intermediate	
assure	verb	intermediate	
assured	adj.	high-intermediate	
asthma	noun	high-intermediate	
astonish	verb	intermediate	
astonished	adj.	intermediate	
astonishing	adj.	intermediate	
astray	adv./adj.	high-intermediate	
astronaut	noun	intermediate	
astronomer	noun	high-intermediate	
astronomy	noun	high-intermediate	
asylum	noun	high-intermediate	
at	prep.	elementary	
athlete	noun	intermediate	
athletic	adj.	intermediate	
athletics	noun	high-intermediate	
ATM	noun	high-intermediate	= automatic teller machine
atmosphere	noun	intermediate	
atom	noun	intermediate	
atomic	adj.	intermediate	
atrocity	noun	high-intermediate	
attach	verb	intermediate	
attached	adj.	high-intermediate	
attack	noun/verb	elementary	
attain	verb	high-intermediate	
attempt	noun/verb	intermediate	
attempted	adj.	high-intermediate	
attend	verb	elementary	
attendance	noun	high-intermediate	
attendant	noun/adj.	high-intermediate	
attention	noun	elementary	
attic	noun	high-intermediate	
attitude	noun	intermediate	
attorney	noun	high-intermediate	
attract	verb	intermediate	
attraction	noun	intermediate	
attractive	adj.	intermediate	
attribute	verb/noun	high-intermediate	
auction	noun/verb	high-intermediate	
audience	noun	elementary	
audio	adj.	intermediate	
audit	verb/noun	high-intermediate	
auditorium	noun	high-intermediate	
August	noun	elementary	= Aug.
aunt	noun	elementary	= auntie= aunty
Australia	noun	elementary	
Australian	adj./noun	elementary	
authentic	adj.	high-intermediate	
author	noun	intermediate	
authoritative	adj.	high-intermediate	
authority	noun	intermediate	
authorize	verb	high-intermediate	= authorise (British English)
auto	noun	high-intermediate	
autobiography	noun	intermediate	
autograph	noun/verb	high-intermediate	
automatic	adj.	intermediate	
automation	noun	high-intermediate	
automobile	noun	intermediate	= auto
autonomous	adj.	high-intermediate	
autonomy	noun	high-intermediate	
autumn	noun	elementary	= fall
auxiliary	noun/adj	intermediate	= aux.
avail	verb/noun	high-intermediate	
available	adj.	elementary	
avenue	noun	intermediate	
average	adj./noun/verb	intermediate	
avert	verb	high-intermediate	
aviary	noun	high-intermediate	
aviation	noun	high-intermediate	
avoid	verb	elementary	
await	verb	intermediate	
awake	adj./verb	intermediate	
awaken	verb	intermediate	
award	noun/verb	intermediate	
aware	adj.	elementary	
away	adv.	elementary	
awe	noun/verb	high-intermediate	
awesome	adj.	high-intermediate	
awful	adj.	intermediate	
awhile	adv.	high-intermediate	
awkward	adj.	intermediate	
ax	noun/verb	intermediate	= axe (British English)
axis	noun	high-intermediate	
B. S.		high-intermediate	= British Standard; Bachelor of Science
B. C.		intermediate	= Before Christ
baby	noun	elementary	
babysit	verb	intermediate	= baby-sit
babysitter	noun	intermediate	= baby-sitter
bachelor	noun	high-intermediate	
back	adv./noun/verb/adj.	elementary	
backbone	noun	high-intermediate	
background	noun	intermediate	
backing	noun	high-intermediate	
backpack	noun/verb	high-intermediate	
backward	adv./adj.	elementary	adv.= backwards (British English)
bacon	noun	intermediate	
bacteria	noun	intermediate	bacterium (singular form)
bad	adj.	elementary	
badge	noun	high-intermediate	
badly	adv.	intermediate	
badminton	noun	elementary	
baffle	verb/noun	high-intermediate	
bag	noun	elementary	
baggage	noun	intermediate	
baggy	adj.	intermediate	
bail	noun/verb	high-intermediate	
bait	noun/verb	intermediate	
bake	verb	elementary	
bakery	noun	elementary	
balance	noun/verb	intermediate	
balanced	adj.	high-intermediate	
balcony	noun	elementary	
bald	adj.	intermediate	
ball	noun	elementary	
ballet	noun	intermediate	
balloon	noun	elementary	
ballot	noun/verb	high-intermediate	
bamboo	noun	intermediate	
ban	verb/noun	intermediate	
banana	noun	elementary	
band	noun	elementary	
bandage	noun/verb	intermediate	
band-aid	noun/adj.	intermediate	
bandit	noun	high-intermediate	
bang	noun/verb	intermediate	
bank	noun	elementary	銀行,岸
banker	noun	elementary	
banking	noun	high-intermediate	
bankrupt	adj./verb/noun	intermediate	
bankruptcy	noun	high-intermediate	
banner	noun	high-intermediate	
banquet	noun/verb	high-intermediate	
bar	noun	elementary	
barbarian	noun/adj.	high-intermediate	
barbecue	noun/verb	elementary	= Bar-B-Q
barber	noun	elementary	
barbershop	noun	high-intermediate	
bare	adj./verb	intermediate	
barefoot	adj./adv.	high-intermediate	
barely	adv.	intermediate	
bargain	noun/verb	intermediate	
barge	noun	high-intermediate	
barge	verb	high-intermediate	
bark	verb/noun	elementary	
barn	noun	intermediate	
barometer	noun	high-intermediate	
barrack	noun/verb	high-intermediate	
barrel	noun	intermediate	
barren	adj./noun	high-intermediate	
barricade	noun/verb	high-intermediate	
barrier	noun	intermediate	
base	verb/noun	elementary	
baseball	noun	elementary	
based	adj.	intermediate	
basement	noun	elementary	
bash	noun/verb	high-intermediate	
basic	adj.	elementary	
basically	adv.	high-intermediate	
basics	noun	high-intermediate	
basin	noun	intermediate	
basis	noun	elementary	
basket	noun	elementary	
basketball	noun	elementary	
bass	noun/adj.	high-intermediate	
bastard	noun/adj.	high-intermediate	
bat	noun	elementary	
batch	noun	high-intermediate	
bath	noun	elementary	
bathe	verb	intermediate	
bathroom	noun	elementary	
battalion	noun	high-intermediate	
batter	verb	high-intermediate	
battery	noun	intermediate	
battle	noun/verb	intermediate	
battlefield	noun	high-intermediate	
bay	noun	intermediate	
bazaar	noun	high-intermediate	
be	verb	elementary	
beach	noun	elementary	
bead	noun/verb	intermediate	
beak	noun	intermediate	
beam	noun/verb	intermediate	
bean	noun	elementary	
bear	noun	elementary	熊
bear	verb	elementary	生產,承受
beard	noun	elementary	
bearing	noun	high-intermediate	
beast	noun	intermediate	
beat	verb/noun	elementary	
beaten	adj.	high-intermediate	
beating	noun	high-intermediate	
beautiful	adj.	elementary	
beautify	verb	high-intermediate	
beauty	noun	intermediate	
because	conj.	elementary	= 'cos
beckon	verb	high-intermediate	
become	verb	elementary	
bed	noun	elementary	
bedroom	noun	elementary	
bedtime	noun/adj.	intermediate	
bee	noun	elementary	
beef	noun	elementary	
beep	noun/verb	high-intermediate	
beer	noun	elementary	
beetle	noun	intermediate	
before	prep./conj./adv.	elementary	
beforehand	adv.	high-intermediate	
beg	verb	intermediate	
beggar	noun/verb	intermediate	
begin	verb	elementary	
beginner	noun	elementary	
beginning	noun/adj.	elementary	
behalf	noun	high-intermediate	
behave	verb	elementary	
behavior	noun	intermediate	= behaviour (British English)
behind	prep./adv.	elementary	
being	noun	intermediate	物，生物
belief	noun	elementary	
believable	adj.	intermediate	
believe	verb	elementary	
bell	noun	elementary	
belly	noun	intermediate	
belong	verb	elementary	
belongings	noun	high-intermediate	
beloved	adj./noun	high-intermediate	
below	adv./prep.	elementary	
belt	noun	elementary	
bench	noun	elementary	
bend	verb/noun	intermediate	
beneath	prep.	intermediate	
beneficial	adj.	intermediate	
benefit	noun/verb	intermediate	
bent	adj./noun	high-intermediate	
berry	noun	intermediate	
beside	prep.	elementary	
besides	prep./adv.	elementary	= beside(prep.)
besiege	verb	high-intermediate	
best	adv./adj.	elementary	
bet	noun/verb	intermediate	
betray	verb	high-intermediate	
better	adv./adj.	elementary	
between	prep.	elementary	
beverage	noun	high-intermediate	
beware	verb	high-intermediate	
bewilder	verb	high-intermediate	
beyond	prep./adv.	elementary	
bias	noun/verb	high-intermediate	
Bible	noun	intermediate	
bibliography	noun	high-intermediate	
bicycle	noun	elementary	= bike
bid	noun/verb	intermediate	
big	adj.	elementary	
bike	noun	intermediate	
bilateral	adj.	high-intermediate	
bill	noun	elementary	
billion	noun	intermediate	
bin	noun	intermediate	
bind	verb	intermediate	
binding	adj./noun	high-intermediate	
bingo	noun	intermediate	
binoculars	noun	high-intermediate	
biochemistry	noun	high-intermediate	
biography	noun	intermediate	
biological	adj.	high-intermediate	
biology	noun	elementary	
bird	noun	elementary	
birdie	noun/verb	high-intermediate	
birth	noun	intermediate	
birthday	noun	elementary	
biscuit	noun	intermediate	
bit	noun	elementary	
bitch	noun/verb	high-intermediate	
bite	verb/noun	elementary	
bitter	adj.	elementary	
bizarre	adj.	high-intermediate	
black	adj./noun	elementary	
blackboard	noun	elementary	
blacksmith	noun	high-intermediate	
blade	noun	high-intermediate	
blame	verb/noun	elementary	
bland	adj.	high-intermediate	
blank	adj./noun	elementary	
blanket	noun	elementary	
blare	verb/noun	high-intermediate	
blast	noun/verb	high-intermediate	
blaze	verb/noun	high-intermediate	
bleach	verb/noun	high-intermediate	
bleak	adj.	high-intermediate	
bleed	verb	intermediate	
blend	verb	intermediate	
bless	verb/noun	intermediate	
blessing	noun	intermediate	
blind	adj.	elementary	
blink	verb/noun	intermediate	
blizzard	noun	high-intermediate	
bloc	noun	high-intermediate	
block	noun/verb	elementary	
blockade	noun/verb	high-intermediate	
blonde	adj./noun	high-intermediate	女性為blonde，男性為 blond
blood	noun	elementary	
bloody	adj.	intermediate	
bloom	noun/verb	intermediate	
blossom	noun/verb	intermediate	
blot	noun/verb	high-intermediate	
blouse	noun	elementary	
blow	verb/noun	elementary	
blue	adj./noun	elementary	
blues	noun	high-intermediate	
blunder	noun/verb	high-intermediate	
blunt	adj./verb	high-intermediate	
blur	noun/verb	high-intermediate	
blush	verb/noun	intermediate	
board	verb	elementary	乘坐某種交通工具
board	noun	elementary	木板
boast	verb/noun	intermediate	
boat	noun	elementary	
bob	verb/noun	high-intermediate	晃動；束髮
bodily	adj./adv.	high-intermediate	
body	noun	elementary	
bodyguard	noun	high-intermediate	
bog	noun	high-intermediate	
boil	verb	elementary	
boiling	adj.	high-intermediate	
bold	adj.	intermediate	
bolster	verb/noun	high-intermediate	
bolt	noun/verb	high-intermediate	
bomb	noun	elementary	
bombard	verb	high-intermediate	
bomber	noun	high-intermediate	
bond	noun/verb	intermediate	
bondage	noun	high-intermediate	
bone	noun	elementary	
bonus	noun	high-intermediate	
bony	adj.	intermediate	
book	noun	elementary	書本
book	verb	elementary	預訂
bookcase	noun	elementary	
booking	noun	high-intermediate	
booklet	noun	intermediate	
bookshelf	noun	intermediate	
bookstore	noun	intermediate	= bookshop (British English)
boom	noun/verb	high-intermediate	
boost	verb/noun	high-intermediate	
boot	noun/verb	intermediate	
booth	noun	high-intermediate	
border	noun/verb	intermediate	
bore	verb/noun	intermediate	
bored	adj.	elementary	
boredom	noun	high-intermediate	
boring	adj.	elementary	
born	adj.	elementary	
borough	noun	high-intermediate	
borrow	verb	elementary	
borrowing	noun	high-intermediate	
bosom	noun	high-intermediate	
boss	noun	elementary	
botanical	adj.	high-intermediate	= botanic
botany	noun	high-intermediate	
both	adv./adj./pron.	elementary	
bother	verb/noun	elementary	
bottle	noun	elementary	
bottom	noun/adj.	elementary	
boulevard	noun	high-intermediate	
bounce	verb/noun	intermediate	
bound	adj./noun	high-intermediate	
boundary	noun	high-intermediate	
bout	noun	high-intermediate	
bow	noun	intermediate	船首 (P)
bow	verb/noun	elementary	鞠躬,點頭致意(P)
bowel	noun	high-intermediate	
bowl	noun	elementary	
bowler	noun	high-intermediate	
bowling	noun	elementary	
box	noun	elementary	
boxer	noun	high-intermediate	
boxing	noun	high-intermediate	
boy	noun	elementary	
boycott	verb/noun	intermediate	
boyfriend	noun	intermediate	
boyhood	noun	high-intermediate	
bra	noun	intermediate	= brassiere
brace	verb/noun	high-intermediate	
bracelet	noun	intermediate	
bracket	noun/verb	high-intermediate	
braid	noun/verb	high-intermediate	
brain	noun	elementary	
brake	noun/verb	intermediate	
branch	noun	elementary	
brand	noun/verb	intermediate	
brand-new	adj.	high-intermediate	
brass	noun/adj.	intermediate	
brassiere	noun	high-intermediate	= bra
brave	adj.	elementary	
bravery	noun	intermediate	
breach	verb/noun	high-intermediate	
bread	noun	elementary	
breadth	noun	high-intermediate	
break	verb/noun	elementary	
breakdown	noun	high-intermediate	
breakfast	noun	elementary	
break-in	noun	high-intermediate	
breakthrough	noun	high-intermediate	
break-up	noun	high-intermediate	
breast	noun/verb	intermediate	
breath	noun	intermediate	
breathe	verb	intermediate	
breed	noun/verb	intermediate	
breeder	noun	high-intermediate	
breeze	noun/verb	intermediate	
brew	verb/noun	high-intermediate	
bribe	noun/verb	intermediate	
brick	noun	elementary	
bride	noun	intermediate	
bridegroom	noun	intermediate	= groom
bridge	noun	elementary	
brief	adj.	elementary	
briefcase	noun	intermediate	
briefing	noun	high-intermediate	
briefly	adv.	high-intermediate	
brigade	noun	high-intermediate	
bright	adj.	elementary	
brilliant	adj.	intermediate	
bring	verb	elementary	
brink	noun	high-intermediate	
brisk	adj.	high-intermediate	
Britain	noun	elementary	
British	adj./noun	elementary	
brittle	adj.	high-intermediate	
broad	adj.	elementary	
broadcast	noun/verb	elementary	
broadcaster	noun	high-intermediate	
broadcasting	noun	high-intermediate	
broaden	verb	high-intermediate	
broadly	adv.	high-intermediate	
brochure	noun	high-intermediate	
broil	verb	high-intermediate	= grill
broke	adj.	intermediate	
broker	noun/verb	high-intermediate	
bronze	noun	high-intermediate	
brooch	noun	high-intermediate	
brood	noun/verb	high-intermediate	
brook	noun	intermediate	
broom	noun	intermediate	
broth	noun	high-intermediate	
brother	noun	elementary	
brotherhood	noun	high-intermediate	
brow	noun	high-intermediate	
brown	adj./noun	elementary	
brownie	noun	intermediate	
browse	verb/noun	intermediate	
bruise	noun/verb	high-intermediate	
brunch	noun	elementary	
brush	noun/verb	elementary	
brutal	adj.	intermediate	
brute	noun/adj.	high-intermediate	
bubble	noun/verb	intermediate	
buck	noun	high-intermediate	
buck	verb/adj.	high-intermediate	
bucket	noun	elementary	= pail
buckle	noun/verb	high-intermediate	
bud	noun/verb	intermediate	
budget	noun/verb	intermediate	
buffalo	noun	intermediate	
buffer	noun/verb	high-intermediate	
buffet	noun	elementary	
bug	noun	elementary	
build	verb	elementary	
building	noun	elementary	
build-up	noun	high-intermediate	= buildup, build up
bulb	noun	intermediate	
bulge	noun/verb	high-intermediate	
bulk	noun/verb	high-intermediate	
bulky	adj.	high-intermediate	
bull	noun	intermediate	
bullet	noun	intermediate	
bulletin	noun	intermediate	
bully	noun/verb	high-intermediate	
bump	verb/noun	intermediate	
bun	noun	elementary	
bunch	noun	intermediate	
bundle	noun	elementary	
bunker	noun/verb	high-intermediate	
burden	noun/verb	intermediate	
bureau	noun	intermediate	
bureaucracy	noun	high-intermediate	
bureaucrat	noun	high-intermediate	
bureaucratic	adj.	high-intermediate	
burger	noun	intermediate	
burglar	noun	intermediate	
burial	noun	high-intermediate	
burn	verb	elementary	
burning	adj.	high-intermediate	
burst	verb	elementary	
bury	verb	intermediate	
bus	noun	elementary	
bush	noun	intermediate	
business	noun	elementary	
businessman	noun	elementary	
bust	noun	high-intermediate	半身像
bust	verb/adj.	high-intermediate	突擊
busy	adj.	elementary	
but	conj./prep.	elementary	
